TICKET MEDIO,GASTO MENSAL,SCORE SERASA,cluster
804,16954,57,g2
2732,15847,55,g1
4594,8379,14,g3
1063,18661,43,g2
2334,13754,11,g1
2141,7880,7,g2
1928,2728,79,g3
2208,10314,40,g2
4168,9388,33,g3
1038,6891,45,g2
4905,9929,87,g1
906,19290,28,g2
1563,1137,15,g3
3515,17833,4,g1
110,10596,4,g2
1968,4087,29,g3
4967,1611,49,g3
984,8867,4,g2
3664,1222,12,g3
1489,5366,98,g2
3501,10639,48,g1
4421,17586,88,g1
924,2628,49,g2
2365,9618,13,g2
1036,3017,45,g2
2900,18033,89,g1
2653,14728,81,g1
3945,14679,83,g1
1896,18762,33,g1
153,10175,70,g2
826,809,46,g2
2836,4452,59,g3
3270,19933,73,g1
2013,14371,78,g2
1696,10192,80,g2
2014,515,10,g3
2566,17489,97,g1
2837,16505,90,g1
949,14778,84,g2
2209,15317,94,g1
102,10259,49,g2
4355,16164,3,g1
4169,6912,40,g3
4976,10696,58,g1
992,9007,59,g2
2130,5320,80,g3
3260,8335,61,g3
2476,2349,83,g3
4775,14087,24,g1
2033,2453,86,g3
1480,19653,78,g2
3781,13231,32,g1
1390,19930,18,g2
1740,7340,56,g2
2782,5566,14,g3
1087,2915,40,g2
1318,2889,68,g2
1455,16711,79,g2
4365,1263,59,g3
4716,17699,95,g1
4235,6755,21,g3
1660,17761,42,g2
1518,7673,31,g2
1054,11018,12,g2
1083,10752,37,g2
1074,12947,25,g2
4233,15589,80,g1
4072,9895,4,g1
1013,12567,48,g2
4649,19707,96,g1
136,5787,90,g2
3487,13961,4,g1
1811,13902,70,g2
3120,7933,47,g3
895,11784,17,g2
4136,5326,94,g3
4788,4164,5,g3
3211,11028,65,g1
1424,997,76,g3
417,8141,41,g2
2496,5143,51,g3
2262,5556,10,g3
2845,631,25,g3
1691,5943,20,g2
3211,17741,65,g1
4030,13943,39,g1
2096,9212,55,g2
1412,8721,50,g2
1385,16160,19,g2
4411,6647,80,g3
2483,12088,79,g1
3339,5104,56,g3
2239,9952,4,g2
1804,18442,13,g1
462,16899,23,g2
2704,4105,67,g3
1816,13784,51,g2
4551,2107,47,g3
4386,12209,87,g1
3838,2516,46,g3
2569,4074,59,g3
4895,14041,72,g1
656,7774,2,g2
925,10435,8,g2
2908,16248,81,g1
4621,6906,99,g3
2819,12326,82,g1
3608,17972,23,g1
3841,1861,3,g3
1674,4973,8,g2
4098,7819,96,g3
2229,9167,0,g2
2503,9981,34,g2
3429,9020,73,g3
688,18070,11,g2
2112,4036,17,g3
1647,2273,77,g3
394,10755,9,g2
2085,3058,73,g3
3217,5579,17,g3
1790,14841,23,g2
1236,10481,0,g2
2164,4024,93,g3
4555,9498,78,g3
4895,14197,71,g1
4643,19550,98,g1
4870,14106,81,g1
1107,13929,15,g2
2614,16539,84,g1
3626,7640,14,g3
4781,9285,61,g3
1347,15401,4,g2
4002,3780,44,g3
1535,2712,51,g3
671,15713,70,g2
2482,8578,6,g3
1345,16436,26,g2
2184,17497,88,g1
377,14774,85,g2
1987,1368,12,g3
4679,17695,16,g1
1365,16542,43,g2
4926,15907,12,g1
1140,16754,89,g2
1017,2244,72,g2
985,2756,4,g2
2852,12359,32,g1
121,5923,3,g2
4669,5589,91,g3
3291,7108,25,g3
2453,10217,67,g2
4899,18353,15,g1
786,19559,21,g2
384,18397,35,g2
4911,5376,57,g3
3847,18335,54,g1
862,3507,34,g2
2528,14825,24,g1
2607,3624,71,g3
128,2253,80,g2
1006,18496,60,g2
3204,3775,17,g3
4099,9247,57,g3
3094,12943,75,g1
2606,18933,56,g1
4765,1324,96,g3
3709,14380,86,g1
3653,11541,62,g1
1553,19914,11,g1
4933,1581,10,g3
3456,12017,12,g1
615,17376,34,g2
138,5264,26,g2
3442,8766,88,g3
986,11683,66,g2
2944,17212,88,g1
2304,13377,44,g1
1198,10482,73,g2
1923,9468,80,g2
3301,15139,66,g1
3255,5174,21,g3
3193,4816,77,g3
3630,15814,90,g1
3878,10195,41,g1
2996,16314,19,g1
3553,8879,47,g3
3611,1714,17,g3
1088,12138,76,g2
4216,11213,69,g1
4126,16477,73,g1
4279,12571,92,g1
1782,3636,5,g3
4765,7118,38,g3
4063,5765,10,g3
1033,8465,24,g2
3698,10097,93,g3
3333,9208,54,g3
2080,7069,83,g3
1955,18375,57,g1
3156,5713,36,g3
892,12381,15,g2
891,4728,94,g2
1909,4909,92,g3
2355,1090,69,g3
3710,19940,92,g1
1707,19090,95,g1
1084,3208,72,g2
3776,6481,36,g3
3480,12721,52,g1
619,17631,86,g2
690,14285,15,g2
1150,7053,17,g2
3733,18381,18,g1
4544,1879,43,g3
1059,7860,1,g2
792,4270,57,g2
3999,14949,9,g1
4573,9588,75,g3
3046,2046,45,g3
626,6708,81,g2
3324,16850,18,g1
2353,9375,37,g2
3444,1795,36,g3
4065,16361,90,g1
1975,14473,77,g2
1863,18269,44,g1
620,14981,33,g2
1116,17826,1,g2
216,3780,43,g2
2533,14097,96,g1
683,17917,82,g2
494,3286,26,g2
3888,2733,47,g3
2868,2120,93,g3
4267,4035,6,g3
3960,3382,26,g3
373,17054,84,g2
2113,10245,70,g2
4533,4397,88,g3
1489,16361,17,g2
3666,3337,32,g3
4802,9099,32,g3
265,16411,95,g2
1667,7221,24,g2
828,17563,13,g2
2143,5987,37,g3
4297,15621,37,g1
3596,736,3,g3
878,12129,61,g2
313,12049,81,g2
3862,2923,9,g3
1676,13406,34,g2
2548,15488,98,g1
3036,1532,22,g3
3217,6839,88,g3
691,3440,64,g2
2820,12762,81,g1
813,12152,78,g2
1035,5442,24,g2
4437,7461,95,g3
101,8230,52,g2
2948,1133,83,g3
4144,7322,16,g3
2049,6987,56,g2
1017,15631,74,g2
3274,6238,76,g3
2341,3598,88,g3
189,8597,19,g2
1809,13636,24,g2
2269,5976,41,g3
4338,8753,44,g3
3141,18701,30,g1
205,5387,64,g2
986,19482,51,g2
527,12143,79,g2
1995,9992,91,g2
416,3153,20,g2
734,1954,29,g2
2025,18022,2,g1
2156,6307,97,g3
3244,3692,69,g3
2370,13312,42,g1
1539,16275,28,g2
652,10902,2,g2
815,13574,57,g2
4011,15745,32,g1
1813,4259,74,g3
3489,19913,44,g1
1207,16183,68,g2
4306,12960,31,g1
350,16947,81,g2
2530,15960,83,g1
2154,18229,51,g1
558,17858,63,g2
307,10314,39,g2
999,14390,91,g2
3561,2240,12,g3
3485,11718,89,g1
121,6555,79,g2
509,2454,88,g2
994,17163,73,g2
614,19275,28,g2
4209,9732,62,g3
2234,6939,83,g3
3695,1461,25,g3
3056,18101,95,g1
1660,6507,58,g2
1366,18276,48,g2
2269,2576,52,g3
3738,6696,87,g3
849,16792,30,g2
3527,10815,11,g1
4880,12285,57,g1
2027,8642,35,g2
3904,6760,9,g3
3802,16034,5,g1
2456,5341,6,g3
4890,13884,30,g1
2435,17943,90,g1
406,2422,71,g2
3765,12491,2,g1
2089,6601,46,g3
761,2973,84,g2
4744,8608,0,g3
411,15950,44,g2
3020,10543,53,g1
1182,16710,49,g2
3071,5049,78,g3
854,1094,6,g2
4230,17390,62,g1
4640,5389,14,g3
452,8712,88,g2
1002,18283,66,g2
3988,3701,29,g3
258,8354,77,g2
2077,7263,67,g2
1056,11153,35,g2
2171,5690,66,g3
503,14215,4,g2
4711,6181,24,g3
2879,4178,94,g3
1487,14602,10,g2
3553,17220,71,g1
1055,2167,89,g2
1812,17793,65,g1
4803,8704,27,g3
1373,5622,59,g2
3911,11717,9,g1
2725,16083,49,g1
2482,1473,38,g3
1541,1908,36,g3
3079,10635,62,g1
1897,19172,60,g1
4490,9238,84,g3
4109,14849,91,g1
4950,1718,37,g3
1494,18304,32,g2
4381,3877,74,g3
1369,11464,44,g2
4832,4598,43,g3
3814,19622,0,g1
629,8119,52,g2
3723,12439,46,g1
3058,18726,32,g1
3014,19700,66,g1
4989,17378,89,g1
3691,7060,14,g3
2247,6010,13,g3
4673,3944,22,g3
3469,8043,53,g3
1039,12929,7,g2
625,7753,53,g2
101,14275,35,g2
474,545,83,g2
2440,16097,51,g1
4105,2557,5,g3
3152,1163,96,g3
4748,5168,27,g3
2465,18913,49,g1
1625,6217,37,g2
4576,3196,29,g3
1746,13700,80,g2
113,16601,72,g2
4699,9331,91,g3
2378,19547,53,g1
3255,19629,70,g1
229,5504,45,g2
3914,13656,27,g1
3316,4902,16,g3
3038,11287,47,g1
4028,15162,43,g1
2140,6412,59,g3
127,894,59,g2
2213,15135,4,g1
1352,4097,68,g2
4456,11024,77,g1
2146,829,69,g3
4655,17656,6,g1
4123,2145,52,g3
4496,18671,16,g1
3474,10315,58,g1
3566,17883,8,g1
3181,2348,94,g3
3878,2061,21,g3
729,1273,44,g2
369,7811,72,g2
2739,15703,58,g1
2093,18687,79,g1
2991,9790,99,g3
3532,2550,97,g3
1380,17631,12,g2
2460,4473,82,g3
675,2115,11,g2
1407,15050,35,g2
3292,10994,9,g1
3278,6006,15,g3
2834,13554,91,g1
2312,14361,18,g1
2452,12087,5,g1
3668,14015,3,g1
1755,6354,29,g2
1679,17100,94,g2
2303,18243,45,g1
1490,4274,26,g2
1842,5427,44,g3
2025,4929,84,g3
719,5106,36,g2
1374,4978,8,g2
1056,16576,60,g2
2039,18780,34,g1
4053,7866,46,g3
2481,4927,20,g3
1068,13976,16,g2
1416,5861,54,g2
1143,1141,87,g3
381,10585,94,g2
2944,4550,5,g3
1158,5053,34,g2
4393,19188,49,g1
2632,3843,36,g3
3928,2556,12,g3
1108,19692,24,g2
1329,9916,95,g2
1135,7726,0,g2
4685,1386,48,g3
375,9084,34,g2
2840,19330,82,g1
2389,12030,52,g2
1339,4091,51,g2
225,19065,53,g2
4165,17238,75,g1
4412,3131,46,g3
3968,18405,42,g1
1308,19556,19,g2
3349,11870,32,g1
1018,19221,92,g2
4023,17512,15,g1
4503,3179,77,g3
2069,4922,6,g3
2893,7963,69,g3
991,10113,20,g2
4570,18010,35,g1
2133,2280,85,g3
1464,9924,53,g2
228,7071,18,g2
1114,1325,24,g2
1899,11655,66,g2
4712,2895,99,g3
1618,4645,52,g2
4281,16279,97,g1
1298,5992,74,g2
3973,7611,47,g3
2574,13587,41,g1
3585,10484,46,g1
4149,7292,90,g3
3819,8211,41,g3
402,2065,1,g2
4052,4167,5,g3
4783,6959,45,g3
1086,4596,65,g2
1963,1519,80,g3
4540,9976,39,g1
3172,8754,57,g3
3224,12084,77,g1
1427,6465,73,g2
2508,11964,32,g1
3773,19153,61,g1
3391,12939,11,g1
4133,5221,95,g3
803,8908,48,g2
674,695,87,g2
3332,3773,77,g3
4883,15830,4,g1
2732,11386,50,g1
3928,3712,68,g3
3330,3255,31,g3
588,18405,48,g2
1447,1580,96,g3
3781,16001,59,g1
3273,17605,45,g1
4689,14547,67,g1
1767,18446,93,g1
1737,1139,40,g3
4214,13002,80,g1
3653,5690,66,g3
1100,4236,12,g2
950,16973,99,g2
1488,1751,17,g3
3812,9794,86,g3
1467,17232,98,g2
921,4552,96,g2
554,19825,50,g2
1724,771,35,g3
2872,18914,80,g1
3826,12198,33,g1
3247,16389,11,g1
4189,10157,4,g1
4906,9887,47,g1
2290,16876,90,g1
1016,11779,39,g2
4086,12515,12,g1
2975,7541,25,g3
1540,18010,13,g2
4500,9208,95,g3
835,11357,10,g2
3668,9993,37,g3
3438,8552,79,g3
3115,17495,56,g1
2989,17633,21,g1
1061,14080,15,g2
3089,18740,76,g1
3948,18410,75,g1
1126,10716,81,g2
3965,6729,28,g3
2963,13843,81,g1
2601,2598,1,g3
2047,15938,53,g1
1277,8365,1,g2
4860,17057,2,g1
111,12711,92,g2
4499,1000,55,g3
3464,4146,71,g3
3122,19247,10,g1
3471,10548,75,g1
2930,11844,31,g1
142,18780,3,g2
1043,10410,8,g2
2490,2278,87,g3
2645,13484,55,g1
2511,19941,15,g1
1104,5690,80,g2
120,15804,85,g2
506,7497,70,g2
1114,12520,9,g2
4531,5247,92,g3
1938,9786,35,g2
3288,545,23,g3
814,8258,63,g2
4246,955,55,g3
3954,10354,77,g1
4519,19808,77,g1
4984,17849,88,g1
240,2028,21,g2
4665,3476,51,g3
4982,19955,49,g1
1063,13788,46,g2
472,6887,22,g2
3735,3021,95,g3
2641,7025,89,g3
3710,1626,90,g3
1792,13848,75,g2
205,8216,82,g2
1781,16602,18,g2
4197,3904,51,g3
4116,4992,33,g3
2736,2843,95,g3
2237,606,28,g3
3516,15695,60,g1
4545,13741,84,g1
3630,13075,34,g1
1386,5301,4,g2
3279,6080,75,g3
3754,17098,6,g1
2459,5900,40,g3
544,7375,1,g2
135,9156,88,g2
1575,6747,9,g2
4057,6677,43,g3
1898,7769,69,g2
1945,15474,90,g2
1508,14537,34,g2
1808,19256,61,g1
3038,16667,73,g1
1400,10880,72,g2
1343,7117,19,g2
4076,803,34,g3
3197,13183,36,g1
4716,17217,71,g1
109,11525,53,g2
2525,19215,94,g1
1760,5061,79,g3
2731,579,27,g3
4915,4263,69,g3
1172,10669,31,g2
3325,17616,91,g1
1416,4476,10,g2
4245,18268,41,g1
3783,2624,22,g3
3373,7152,29,g3
245,5783,8,g2
3140,7676,91,g3
1562,19176,87,g2
4776,12909,58,g1
1684,12819,27,g2
582,1497,87,g2
3279,11501,78,g1
1349,5164,32,g2
4868,19241,46,g1
730,18563,97,g2
761,13617,21,g2
3603,11731,28,g1
2952,7940,33,g3
2566,11718,41,g1
1087,16108,51,g2
1646,19629,46,g1
749,4590,73,g2
1068,7971,50,g2
2737,4243,44,g3
1200,10696,93,g2
540,7508,74,g2
869,3824,33,g2
1443,9132,20,g2
4458,726,12,g3
3829,15363,53,g1
4006,16527,24,g1
1677,19285,20,g1
4108,5218,0,g3
3451,17908,57,g1
4895,6172,68,g3
2449,15762,85,g1
3702,17754,70,g1
1341,3699,12,g2
1225,18629,51,g2
2701,5770,22,g3
1290,13250,20,g2
4231,8397,5,g3
4939,9164,19,g3
4548,15392,75,g1
172,8771,39,g2
2014,5658,8,g3
2572,13344,49,g1
3146,1089,27,g3
807,10052,10,g2
1904,16767,95,g2
3813,18768,74,g1
2664,16659,87,g1
2575,14763,55,g1
3710,5899,78,g3
4355,9003,34,g3
2923,1576,80,g3
1835,7735,24,g2
1685,16917,98,g2
166,2341,18,g2
3161,4981,30,g3
2528,1634,80,g3
4253,13639,49,g1
441,8271,86,g2
2874,9067,62,g3
2917,9415,46,g3
2761,14398,0,g1
1332,2413,57,g3
3974,4797,9,g3
2501,2442,7,g3
1594,18215,25,g2
4311,837,33,g3
761,14756,18,g2
3983,10557,77,g1
3719,9483,71,g3
1968,16783,0,g1
2434,4200,47,g3
3474,12645,24,g1
1116,6618,23,g2
4506,3173,46,g3
307,2622,83,g2
2765,12477,93,g1
2593,8750,68,g3
732,18946,66,g2
2202,18138,31,g1
3059,4188,16,g3
3183,4248,60,g3
4852,6842,68,g3
2031,16775,10,g1
3819,14165,37,g1
2662,4630,67,g3
1779,3529,18,g3
336,19730,86,g2
4543,13682,16,g1
4825,4535,12,g3
1640,15627,90,g2
4043,3399,0,g3
463,10138,1,g2
2468,13722,81,g1
385,17796,99,g2
248,4742,96,g2
4137,18595,99,g1
4651,1939,65,g3
1866,6113,67,g2
4995,5875,15,g3
1112,9377,3,g2
2931,2966,56,g3
2607,8324,72,g3
1623,12829,84,g2
2885,12130,22,g1
2656,17849,1,g1
3825,14703,66,g1
4676,7428,86,g3
1701,9611,25,g2
2508,8620,6,g3
440,11564,99,g2
2917,18392,43,g1
2596,9904,32,g3
1825,1371,63,g3
1789,13082,35,g2
3367,1363,3,g3
4506,15383,22,g1
361,12645,24,g2
1542,3555,89,g3
505,12686,91,g2
2290,3182,91,g3
4537,13382,84,g1
343,5778,73,g2
4685,14305,26,g1
4207,17497,50,g1
660,2372,78,g2
4237,11846,80,g1
2825,8223,98,g3
693,14371,68,g2
1926,16446,79,g2
3329,7689,22,g3
3387,13252,8,g1
4173,12065,32,g1
233,7442,34,g2
3238,15230,49,g1
4019,11883,23,g1
172,744,87,g2
4594,520,23,g3
4325,14417,18,g1
3078,14221,38,g1
4461,6267,60,g3
2085,10747,24,g2
892,4015,94,g2
4359,2410,24,g3
194,11250,26,g2
1233,8576,31,g2
337,18506,10,g2
3046,15551,68,g1
2630,4814,32,g3
2060,2953,18,g3
1148,2515,15,g2
2629,10736,98,g1
3064,3300,10,g3
1063,9523,74,g2
636,12384,73,g2
4323,16852,97,g1
3779,13382,68,g1
4287,10846,86,g1
3824,14535,54,g1
642,16608,24,g2
945,3353,92,g2
3703,19120,76,g1
3136,4676,95,g3
2594,2655,33,g3
4585,7329,11,g3
2819,2386,87,g3
1984,6971,20,g2
4238,13089,28,g1
4449,8891,50,g3
3301,19824,22,g1
2810,13850,32,g1
2053,8399,7,g2
4837,806,41,g3
3950,3575,76,g3
789,18540,68,g2
2050,7744,40,g2
556,7111,73,g2
2230,19576,62,g1
4076,14634,13,g1
4344,18648,87,g1
1279,775,61,g3
4385,5771,74,g3
3665,7831,45,g3
982,12053,66,g2
499,12073,92,g2
708,10572,52,g2
1738,16517,51,g2
2248,18728,93,g1
1482,16955,6,g2
1503,7886,80,g2
919,7362,83,g2
3392,7840,53,g3
919,9987,10,g2
519,15561,24,g2
4319,8135,58,g3
4617,15104,87,g1
3402,17927,65,g1
1608,3542,26,g3
867,17698,82,g2
2144,10886,57,g2
2239,12192,92,g2
3129,15725,10,g1
1649,17193,54,g2
1864,7161,18,g2
2745,10753,91,g1
3816,18761,38,g1
4705,19370,84,g1
4581,12437,89,g1
2393,1294,85,g3
4937,15098,69,g1
2808,7286,10,g3
1000,4514,13,g2
3184,7892,59,g3
2109,13045,35,g2
341,5853,40,g2
2485,3907,1,g3
4368,17858,56,g1
771,16553,59,g2
263,13689,19,g2
564,11713,21,g2
3142,7748,3,g3
4692,4869,55,g3
4895,8550,92,g3
2542,17348,57,g1
4898,5915,87,g3
2455,15898,64,g1
4378,8615,87,g3
4824,787,57,g3
2657,3695,29,g3
645,18876,75,g2
4819,7950,18,g3
3935,3425,61,g3
693,15015,67,g2
4939,18004,78,g1
3904,5810,83,g3
1559,17330,43,g2
3593,12260,83,g1
2701,15396,60,g1
2544,19780,20,g1
2772,17605,9,g1
4300,19047,29,g1
116,11274,23,g2
3291,15957,47,g1
492,10043,54,g2
524,4480,51,g2
671,12076,37,g2
3731,18609,66,g1
1220,3913,92,g2
341,994,7,g2
3997,1447,28,g3
4195,522,9,g3
2379,1628,68,g3
888,14486,74,g2
814,16661,67,g2
4954,16660,48,g1
2949,17441,57,g1
875,10308,34,g2
4126,7498,49,g3
2347,7682,39,g3
178,18540,11,g2
4026,9498,84,g3
955,3812,15,g2
2248,13829,77,g1
1131,16302,84,g2
3371,11667,47,g1
3676,2824,90,g3
4282,10139,99,g1
3556,13838,0,g1
3606,11253,64,g1
507,6484,21,g2
2811,19395,14,g1
3188,15642,83,g1
1768,11563,66,g2
247,862,13,g2
4427,3954,72,g3
3997,19682,18,g1
2050,3755,39,g3
465,18101,97,g2
1774,18369,3,g1
4631,5849,32,g3
4594,7695,42,g3
2646,10547,36,g1
662,8250,65,g2
3662,9899,26,g3
2589,14186,44,g1
872,8535,80,g2
2137,2007,49,g3
3523,17887,94,g1
2667,15276,62,g1
1673,17809,5,g2
3794,7083,94,g3
3391,4427,66,g3
1346,17869,66,g2
3819,16297,96,g1
3939,4731,58,g3
459,5802,12,g2
2476,5791,20,g3
3109,1408,63,g3
3093,15623,36,g1
1062,13377,79,g2
3732,14739,84,g1
1927,3086,47,g3
1713,9835,55,g2
1740,16140,43,g2
2316,18215,12,g1
4412,11034,3,g1
477,2306,94,g2
4314,10792,72,g1
4385,17689,32,g1
469,11467,36,g2
2296,16955,52,g1
3847,527,23,g3
751,9160,88,g2
869,7555,50,g2
2521,10116,40,g2
880,10940,28,g2
1816,4332,58,g3
4083,16470,39,g1
1411,13607,50,g2
3459,14277,49,g1
622,16454,35,g2
621,17443,78,g2
4978,8457,59,g3
2420,13166,17,g1
1035,10610,19,g2
2330,7844,4,g3
4140,16962,17,g1
4683,14196,39,g1
3797,1531,0,g3
2937,18956,18,g1
4183,15590,86,g1
2561,16316,25,g1
3343,18368,28,g1
3459,10937,58,g1
785,15953,62,g2
2260,14758,97,g1
4088,2050,82,g3
4166,13477,61,g1
1667,5182,47,g2
138,14939,61,g2
2644,18713,17,g1
4975,4251,65,g3
1356,13414,26,g2
3090,10723,5,g1
2296,15898,69,g1
3568,7101,58,g3
2808,4356,5,g3
401,13161,30,g2
746,16091,93,g2
4858,6682,55,g3
1859,8470,53,g2
4451,15654,84,g1
697,2594,40,g2
761,12595,17,g2
4430,19916,86,g1
1468,14172,22,g2
2681,18432,91,g1
3968,14728,35,g1
3637,9059,24,g3
4965,564,6,g3
4408,3799,81,g3
4658,5349,19,g3
382,6139,4,g2
3778,18919,17,g1
1586,11555,32,g2
4182,19112,78,g1
4283,17480,34,g1
560,11366,64,g2
2425,4389,62,g3
3854,15958,84,g1
2568,18279,71,g1
1824,952,70,g3
1476,11495,40,g2
2843,3131,49,g3
614,2686,29,g2
802,6467,37,g2
1753,4848,34,g3
2166,1959,65,g3
122,2442,45,g2
2560,15396,7,g1
1404,14907,67,g2
3400,16122,36,g1
461,15057,84,g2
3827,16945,12,g1
1384,18378,72,g2
614,18064,44,g2
548,13593,28,g2
1955,3288,40,g3
3662,10900,55,g1
2620,16989,87,g1
3181,4425,15,g3
1528,18792,11,g2
4067,18933,65,g1
1022,15068,61,g2
3237,13156,18,g1
2259,9966,29,g2
2647,4404,15,g3
3079,15967,87,g1
2381,10919,12,g2
2749,17176,68,g1
413,10914,22,g2
2713,12665,61,g1
3183,11183,30,g1
2356,15942,52,g1
1137,5360,16,g2
3589,4229,48,g3
2734,14900,48,g1
4083,9119,66,g3
1878,11664,25,g2
3995,6610,12,g3
1224,7455,37,g2
797,606,21,g2
2279,5254,84,g3
1504,12025,28,g2
1143,6908,44,g2
2029,8135,45,g2
1113,1725,38,g2
326,12696,68,g2
1928,4750,77,g3
2123,15872,81,g1
2552,17779,67,g1
2185,12597,96,g2
4383,18504,38,g1
1180,12555,19,g2
2420,5919,76,g3
3290,18269,99,g1
2730,16213,67,g1
2663,12284,34,g1
3392,2933,7,g3
4721,11498,51,g1
3686,12075,39,g1
4531,1801,35,g3
3047,7358,5,g3
4059,9450,85,g3
2913,9438,69,g3
2683,6144,99,g3
261,11578,72,g2
693,9760,15,g2
3359,15190,45,g1
4255,3807,58,g3
3062,16988,37,g1
3988,895,96,g3
3490,11345,17,g1
4601,3791,11,g3
763,18894,53,g2
1232,13638,90,g2
641,5037,46,g2
3074,10360,0,g1
967,17935,14,g2
2166,19725,90,g1
531,7118,79,g2
4935,5223,20,g3
4378,15337,0,g1
1306,9039,92,g2
2628,1763,66,g3
1269,13805,11,g2
930,11434,27,g2
1751,10765,38,g2
1236,16839,36,g2
2910,1851,94,g3
575,7690,59,g2
2910,19530,30,g1
1426,17150,57,g2
1119,11385,96,g2
1936,7934,96,g2
4356,1522,10,g3
2548,2537,28,g3
4393,9256,88,g3
1383,14058,12,g2
759,17943,50,g2
2110,1924,53,g3
498,4623,18,g2
1833,17103,57,g2
2225,905,35,g3
2271,10329,27,g2
174,19202,67,g2
4797,10451,2,g1
3571,9483,88,g3
936,18193,40,g2
599,12525,34,g2
237,5429,92,g2
2197,10022,92,g2
3796,13138,75,g1
1985,9202,98,g2
2857,11264,83,g1
4020,12621,80,g1
2000,14719,75,g2
2710,2117,49,g3
4086,10748,99,g1
1549,18404,73,g2
646,2083,81,g2
4776,7204,29,g3
2103,8488,71,g2
2196,18459,76,g1
803,10453,94,g2
2503,3113,69,g3
1725,4392,53,g3
3431,12836,70,g1
4833,7233,84,g3
3078,4931,50,g3
4836,18265,27,g1
2939,4015,63,g3
3484,4954,84,g3
2759,8269,20,g3
1961,8884,87,g2
2956,14227,26,g1
785,4034,26,g2
4383,1255,76,g3
1719,19409,49,g1
4743,17711,28,g1
1531,19217,38,g2
975,8802,56,g2
4813,13407,91,g1
2561,9484,36,g3
1465,14885,92,g2
1343,7681,63,g2
262,13945,47,g2
2074,13375,21,g2
3391,3914,99,g3
369,15505,29,g2
731,10001,27,g2
1005,14745,22,g2
3571,6957,96,g3
3353,7249,3,g3
2114,796,2,g3
1741,10321,60,g2
304,17452,95,g2
681,5783,3,g2
940,13619,64,g2
1819,8164,11,g2
2743,8011,12,g3
2397,5965,33,g3
974,13057,58,g2
789,4882,92,g2
4100,16949,72,g1
3241,17763,30,g1
1522,9908,70,g2
771,14190,12,g2
1271,5569,53,g2
3826,12172,1,g1
1043,17391,32,g2
1549,8204,49,g2
3837,18009,6,g1
2639,17769,17,g1
4059,19725,50,g1
4360,8475,7,g3
2461,12569,54,g1
3752,7065,75,g3
3770,5370,42,g3
1853,19409,58,g1
2452,9617,29,g2
2038,2438,58,g3
470,12054,8,g2
4579,3732,91,g3
2031,3965,67,g3
524,940,38,g2
4824,17345,80,g1
994,5913,10,g2
697,12163,1,g2
3162,6255,22,g3
2436,5512,62,g3
4788,16626,21,g1
1787,7252,60,g2
672,505,25,g2
2190,5276,11,g3
3769,7538,31,g3
4372,6914,8,g3
4724,4470,68,g3
1733,11550,89,g2
1617,3106,70,g3
4393,16982,92,g1
2757,1025,32,g3
3748,6837,23,g3
3688,1680,88,g3
1637,13557,94,g2
3237,6422,92,g3
197,3571,68,g2
3315,3292,37,g3
4630,14344,10,g1
4832,514,31,g3
3850,19299,63,g1
3257,3185,71,g3
4783,16712,19,g1
443,9928,33,g2
4766,8659,41,g3
710,4600,7,g2
1827,6874,65,g2
2390,6504,20,g3
1954,6021,78,g3
2708,11912,69,g1
2179,12255,4,g2
2424,19517,66,g1
4727,4390,42,g3
1277,17675,15,g2
1191,9691,98,g2
2891,651,72,g3
1849,19947,34,g1
2775,14361,82,g1
881,18975,42,g2
3148,15532,97,g1
2205,5099,38,g3
3967,12774,9,g1
4642,12718,73,g1
2213,3477,19,g3
4070,17726,0,g1
2091,4293,5,g3
1167,2159,52,g2
1677,5662,45,g2
1111,11205,65,g2
2374,16540,37,g1
4969,4770,32,g3
1914,13786,66,g2
2526,4103,99,g3
4502,14272,76,g1
4974,18100,34,g1
2651,2791,78,g3
3757,13623,44,g1
107,4311,21,g2
2655,13847,67,g1
575,14351,16,g2
2311,16013,4,g1
584,5642,84,g2
4754,12694,56,g1
2385,8026,87,g3
4663,19862,94,g1
3625,14013,39,g1
3439,12584,29,g1
2922,13849,41,g1
3024,15568,6,g1
358,5095,70,g2
382,15902,90,g2
1998,10455,87,g2
4235,19054,18,g1
3076,14496,40,g1
2367,19905,33,g1
3300,1685,21,g3
712,3785,51,g2
787,3947,90,g2
3790,11162,5,g1
712,5399,73,g2
2407,16560,94,g1
3113,2435,24,g3
1881,9945,65,g2
2691,9774,9,g3
2796,10835,73,g1
4058,18169,25,g1
674,9045,4,g2
2010,7979,85,g2
3704,5755,67,g3
769,18769,97,g2
4464,5562,70,g3
1383,7566,49,g2
1023,11212,16,g2
1225,16491,10,g2
1629,3522,52,g3
1694,2047,49,g3
346,12710,7,g2
3811,4704,91,g3
1660,8090,96,g2
2500,1868,61,g3
2343,12029,88,g2
3964,18641,84,g1
2039,16445,75,g1
3169,10209,89,g3
326,14144,28,g2
3647,5417,98,g3
364,12377,43,g2
1495,13724,44,g2
3657,3552,28,g3
745,8882,87,g2
3090,17816,58,g1
1999,7740,14,g2
2604,3738,69,g3
2872,10907,95,g1
1254,1065,43,g3
687,6058,97,g2
4671,16875,35,g1
1921,17627,83,g1
1085,11603,56,g2
4179,15674,63,g1
3448,9222,75,g3
3931,9253,98,g3
1341,6129,37,g2
289,6818,16,g2
1080,801,26,g3
1798,8006,16,g2
1815,9201,62,g2
